date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
2024-05-01,New Delhi,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
2024-05-01,New Delhi,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-01,New Delhi,Tomato,26,30 - 33,31 - 43,1kg,resource/images/vegetables/tomato-64.png
2024-05-01,New Delhi,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2024-05-01,New Delhi,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
2024-05-01,New Delhi,Potato,30,35 - 38,36 - 50,1kg,resource/images/vegetables/potato-64.png
2024-05-01,New Delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
2024-05-01,New Delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
2024-05-01,New Delhi,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
2024-05-01,New Delhi,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
2024-05-01,New Delhi,Baby Corn,50,58 - 64,60 - 83,1kg,resource/images/vegetables/babycorn-64.png
2024-05-01,New Delhi,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
2024-05-01,New Delhi,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
2024-05-01,New Delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
2024-05-01,New Delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
2024-05-01,New Delhi,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
2024-05-01,New Delhi,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
